0.00.359.096 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.542.157 W srv  llama_server: -----------------
0.00.542.159 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.542.160 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.542.160 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.542.160 W srv  llama_server: -----------------
0.00.543.500 I srv    load_model: loading model '/home/dushyant30suthar/.lmstudio/models/unsloth/Laguna-S-2.1-GGUF/Laguna-S-2.1-UD-Q2_K_XL.gguf'
0.00.753.234 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.00.868.166 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.868.170 W load: special_eot_id is not in special_eog_ids - the tokenizer config may be incorrect
0.27.931.557 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 98304, kv_unified = 'true'
0.27.931.673 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.27.943.403 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.27.943.431 I srv  llama_server: model loaded
0.27.943.435 I srv  llama_server: listening on http://127.0.0.1:9520
0.28.826.372 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.42.085.327 I slot print_timing: id  3 | task 0 | n_decoded =    869, tg =  14.22 t/s, tg_3s =  15.01 t/s
1.45.095.328 I slot print_timing: id  3 | task 0 | n_decoded =    913, tg =  14.23 t/s, tg_3s =  14.62 t/s
1.48.159.528 I slot print_timing: id  3 | task 0 | n_decoded =    959, tg =  14.27 t/s, tg_3s =  15.01 t/s
1.51.377.021 I slot print_timing: id  3 | task 0 | n_decoded =    981, tg =  13.93 t/s, tg_3s =   6.84 t/s
1.54.429.668 I slot print_timing: id  3 | task 0 | n_decoded =    990, tg =  13.47 t/s, tg_3s =   2.95 t/s
1.57.444.722 I slot print_timing: id  3 | task 0 | n_decoded =   1035, tg =  13.53 t/s, tg_3s =  14.93 t/s
2.00.471.984 I slot print_timing: id  3 | task 0 | n_decoded =   1080, tg =  13.58 t/s, tg_3s =  14.86 t/s
2.03.530.838 I slot print_timing: id  3 | task 0 | n_decoded =   1126, tg =  13.64 t/s, tg_3s =  15.04 t/s
2.06.545.732 I slot print_timing: id  3 | task 0 | n_decoded =   1171, tg =  13.68 t/s, tg_3s =  14.93 t/s
2.09.557.457 I slot print_timing: id  3 | task 0 | n_decoded =   1216, tg =  13.72 t/s, tg_3s =  14.94 t/s
2.12.581.028 I slot print_timing: id  3 | task 0 | n_decoded =   1261, tg =  13.76 t/s, tg_3s =  14.88 t/s
2.15.582.912 I slot print_timing: id  3 | task 0 | n_decoded =   1306, tg =  13.80 t/s, tg_3s =  14.99 t/s
2.18.589.210 I slot print_timing: id  3 | task 0 | n_decoded =   1351, tg =  13.84 t/s, tg_3s =  14.97 t/s
2.21.616.221 I slot print_timing: id  3 | task 0 | n_decoded =   1396, tg =  13.87 t/s, tg_3s =  14.87 t/s
2.24.656.283 I slot print_timing: id  3 | task 0 | n_decoded =   1441, tg =  13.90 t/s, tg_3s =  14.80 t/s
2.27.757.894 I slot print_timing: id  3 | task 0 | n_decoded =   1475, tg =  13.81 t/s, tg_3s =  10.96 t/s
2.31.106.492 I slot print_timing: id  3 | task 0 | n_decoded =   1483, tg =  13.46 t/s, tg_3s =   2.39 t/s
2.34.123.367 I slot print_timing: id  3 | task 0 | n_decoded =   1521, tg =  13.44 t/s, tg_3s =  12.60 t/s
2.37.186.662 I slot print_timing: id  3 | task 0 | n_decoded =   1566, tg =  13.47 t/s, tg_3s =  14.69 t/s
2.40.218.329 I slot print_timing: id  3 | task 0 | n_decoded =   1611, tg =  13.51 t/s, tg_3s =  14.84 t/s
2.43.237.960 I slot print_timing: id  3 | task 0 | n_decoded =   1654, tg =  13.53 t/s, tg_3s =  14.24 t/s
2.46.296.866 I slot print_timing: id  3 | task 0 | n_decoded =   1699, tg =  13.56 t/s, tg_3s =  14.71 t/s
2.49.332.680 I slot print_timing: id  3 | task 0 | n_decoded =   1744, tg =  13.59 t/s, tg_3s =  14.82 t/s
2.52.340.056 I slot print_timing: id  3 | task 0 | n_decoded =   1789, tg =  13.62 t/s, tg_3s =  14.96 t/s
2.55.371.420 I slot print_timing: id  3 | task 0 | n_decoded =   1834, tg =  13.64 t/s, tg_3s =  14.84 t/s
2.58.425.876 I slot print_timing: id  3 | task 0 | n_decoded =   1879, tg =  13.67 t/s, tg_3s =  14.73 t/s
3.01.463.086 I slot print_timing: id  3 | task 0 | n_decoded =   1924, tg =  13.69 t/s, tg_3s =  14.82 t/s
3.04.655.165 I slot print_timing: id  3 | task 0 | n_decoded =   1965, tg =  13.67 t/s, tg_3s =  12.84 t/s
3.07.972.068 I slot print_timing: id  3 | task 0 | n_decoded =   1973, tg =  13.42 t/s, tg_3s =   2.41 t/s
3.11.016.030 I slot print_timing: id  3 | task 0 | n_decoded =   2005, tg =  13.36 t/s, tg_3s =  10.51 t/s
3.14.072.474 I slot print_timing: id  3 | task 0 | n_decoded =   2050, tg =  13.39 t/s, tg_3s =  14.72 t/s
3.17.107.202 I slot print_timing: id  3 | task 0 | n_decoded =   2095, tg =  13.42 t/s, tg_3s =  14.83 t/s
3.20.128.887 I slot print_timing: id  3 | task 0 | n_decoded =   2140, tg =  13.44 t/s, tg_3s =  14.89 t/s
3.23.156.140 I slot print_timing: id  3 | task 0 | n_decoded =   2184, tg =  13.46 t/s, tg_3s =  14.53 t/s
3.26.218.750 I slot print_timing: id  3 | task 0 | n_decoded =   2229, tg =  13.49 t/s, tg_3s =  14.69 t/s
3.29.256.495 I slot print_timing: id  3 | task 0 | n_decoded =   2274, tg =  13.51 t/s, tg_3s =  14.81 t/s
3.32.283.686 I slot print_timing: id  3 | task 0 | n_decoded =   2319, tg =  13.54 t/s, tg_3s =  14.87 t/s
3.35.322.300 I slot print_timing: id  3 | task 0 | n_decoded =   2364, tg =  13.56 t/s, tg_3s =  14.81 t/s
3.38.431.689 I slot print_timing: id  3 | task 0 | n_decoded =   2408, tg =  13.57 t/s, tg_3s =  14.15 t/s
3.41.480.519 I slot print_timing: id  3 | task 0 | n_decoded =   2449, tg =  13.57 t/s, tg_3s =  13.45 t/s
3.44.880.123 I slot print_timing: id  3 | task 0 | n_decoded =   2458, tg =  13.36 t/s, tg_3s =   2.65 t/s
3.47.910.349 I slot print_timing: id  3 | task 0 | n_decoded =   2483, tg =  13.28 t/s, tg_3s =   8.25 t/s
3.50.925.910 I slot print_timing: id  3 | task 0 | n_decoded =   2526, tg =  13.30 t/s, tg_3s =  14.26 t/s
3.53.995.963 I slot print_timing: id  3 | task 0 | n_decoded =   2568, tg =  13.30 t/s, tg_3s =  13.68 t/s
3.57.071.980 I slot print_timing: id  3 | task 0 | n_decoded =   2610, tg =  13.31 t/s, tg_3s =  13.65 t/s
4.00.076.473 I slot print_timing: id  3 | task 0 | n_decoded =   2648, tg =  13.30 t/s, tg_3s =  12.65 t/s
4.03.082.154 I slot print_timing: id  3 | task 0 | n_decoded =   2690, tg =  13.31 t/s, tg_3s =  13.97 t/s
4.06.102.873 I slot print_timing: id  3 | task 0 | n_decoded =   2732, tg =  13.32 t/s, tg_3s =  13.90 t/s
4.09.158.585 I slot print_timing: id  3 | task 0 | n_decoded =   2774, tg =  13.32 t/s, tg_3s =  13.74 t/s
4.12.211.141 I slot print_timing: id  3 | task 0 | n_decoded =   2818, tg =  13.34 t/s, tg_3s =  14.41 t/s
4.15.249.367 I slot print_timing: id  3 | task 0 | n_decoded =   2857, tg =  13.33 t/s, tg_3s =  12.84 t/s
4.18.288.948 I slot print_timing: id  3 | task 0 | n_decoded =   2899, tg =  13.34 t/s, tg_3s =  13.82 t/s
4.21.371.517 I slot print_timing: id  3 | task 0 | n_decoded =   2913, tg =  13.22 t/s, tg_3s =   4.54 t/s
4.24.440.617 I slot print_timing: id  3 | task 0 | n_decoded =   2927, tg =  13.10 t/s, tg_3s =   4.56 t/s
4.27.444.099 I slot print_timing: id  3 | task 0 | n_decoded =   2966, tg =  13.10 t/s, tg_3s =  12.98 t/s
4.30.470.014 I slot print_timing: id  3 | task 0 | n_decoded =   3009, tg =  13.11 t/s, tg_3s =  14.21 t/s
4.33.529.333 I slot print_timing: id  3 | task 0 | n_decoded =   3053, tg =  13.13 t/s, tg_3s =  14.38 t/s
4.36.572.250 I slot print_timing: id  3 | task 0 | n_decoded =   3097, tg =  13.14 t/s, tg_3s =  14.46 t/s
4.39.637.333 I slot print_timing: id  3 | task 0 | n_decoded =   3141, tg =  13.16 t/s, tg_3s =  14.36 t/s
4.42.641.232 I slot print_timing: id  3 | task 0 | n_decoded =   3184, tg =  13.17 t/s, tg_3s =  14.31 t/s
4.45.707.691 I slot print_timing: id  3 | task 0 | n_decoded =   3228, tg =  13.19 t/s, tg_3s =  14.35 t/s
4.46.535.285 I slot print_timing: id  3 | task 0 | prompt eval time =    2824.88 ms /   138 tokens (   20.47 ms per token,    48.85 tokens per second)
4.46.535.326 I slot print_timing: id  3 | task 0 |        eval time =  245578.38 ms /  3240 tokens (   75.80 ms per token,    13.19 tokens per second)
4.46.535.344 I slot print_timing: id  3 | task 0 |       total time =  248403.26 ms /  3378 tokens
4.46.535.364 I slot print_timing: id  3 | task 0 |    graphs reused =       3225
4.46.535.415 I slot      release: id  3 | task 0 | stop processing: n_tokens = 3377, truncated = 0
4.46.547.459 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.699 (> 0.100 thold), f_keep = 0.017
4.46.547.516 I slot launch_slot_: id  3 | task 3242 | processing task, is_child = 0
4.55.245.193 I slot print_timing: id  3 | task 3242 | n_decoded =    100, tg =  15.60 t/s, tg_3s =  15.60 t/s
4.58.435.425 I slot print_timing: id  3 | task 3242 | n_decoded =    121, tg =  12.60 t/s, tg_3s =   6.58 t/s
5.01.479.525 I slot print_timing: id  3 | task 3242 | n_decoded =    132, tg =  10.44 t/s, tg_3s =   3.61 t/s
5.04.498.764 I slot print_timing: id  3 | task 3242 | n_decoded =    178, tg =  11.36 t/s, tg_3s =  15.24 t/s
5.07.545.927 I slot print_timing: id  3 | task 3242 | n_decoded =    224, tg =  11.97 t/s, tg_3s =  15.10 t/s
5.10.558.414 I slot print_timing: id  3 | task 3242 | n_decoded =    270, tg =  12.43 t/s, tg_3s =  15.27 t/s
5.13.594.947 I slot print_timing: id  3 | task 3242 | n_decoded =    316, tg =  12.76 t/s, tg_3s =  15.15 t/s
5.16.604.157 I slot print_timing: id  3 | task 3242 | n_decoded =    362, tg =  13.04 t/s, tg_3s =  15.29 t/s
5.19.639.152 I slot print_timing: id  3 | task 3242 | n_decoded =    408, tg =  13.24 t/s, tg_3s =  15.16 t/s
5.22.674.938 I slot print_timing: id  3 | task 3242 | n_decoded =    454, tg =  13.42 t/s, tg_3s =  15.15 t/s
5.25.713.019 I slot print_timing: id  3 | task 3242 | n_decoded =    500, tg =  13.56 t/s, tg_3s =  15.14 t/s
5.28.714.601 I slot print_timing: id  3 | task 3242 | n_decoded =    544, tg =  13.64 t/s, tg_3s =  14.66 t/s
5.28.779.301 I slot print_timing: id  3 | task 3242 | prompt eval time =    2287.09 ms /    83 tokens (   27.56 ms per token,    36.29 tokens per second)
5.28.779.345 I slot print_timing: id  3 | task 3242 |        eval time =   39944.68 ms /   545 tokens (   73.29 ms per token,    13.64 tokens per second)
5.28.779.364 I slot print_timing: id  3 | task 3242 |       total time =   42231.77 ms /   628 tokens
5.28.779.382 I slot print_timing: id  3 | task 3242 |    graphs reused =       3766
5.28.779.632 I slot      release: id  3 | task 3242 | stop processing: n_tokens = 627, truncated = 0
5.28.791.226 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.425 (> 0.100 thold), f_keep = 0.091
5.28.791.263 I slot launch_slot_: id  3 | task 3789 | processing task, is_child = 0
5.42.053.392 I slot print_timing: id  3 | task 3789 | n_decoded =    100, tg =   9.37 t/s, tg_3s =   9.37 t/s
5.45.070.158 I slot print_timing: id  3 | task 3789 | n_decoded =    145, tg =  10.59 t/s, tg_3s =  14.92 t/s
5.48.093.471 I slot print_timing: id  3 | task 3789 | n_decoded =    190, tg =  11.37 t/s, tg_3s =  14.88 t/s
5.51.131.772 I slot print_timing: id  3 | task 3789 | n_decoded =    236, tg =  11.95 t/s, tg_3s =  15.14 t/s
5.54.174.991 I slot print_timing: id  3 | task 3789 | n_decoded =    282, tg =  12.37 t/s, tg_3s =  15.12 t/s
5.57.241.029 I slot print_timing: id  3 | task 3789 | n_decoded =    328, tg =  12.68 t/s, tg_3s =  15.00 t/s
6.00.308.036 I slot print_timing: id  3 | task 3789 | n_decoded =    374, tg =  12.93 t/s, tg_3s =  15.00 t/s
6.03.337.240 I slot print_timing: id  3 | task 3789 | n_decoded =    419, tg =  13.11 t/s, tg_3s =  14.86 t/s
6.06.393.021 I slot print_timing: id  3 | task 3789 | n_decoded =    465, tg =  13.28 t/s, tg_3s =  15.05 t/s
6.09.432.357 I slot print_timing: id  3 | task 3789 | n_decoded =    511, tg =  13.43 t/s, tg_3s =  15.13 t/s
6.12.683.426 I slot print_timing: id  3 | task 3789 | n_decoded =    539, tg =  13.05 t/s, tg_3s =   8.61 t/s
6.15.920.248 I slot print_timing: id  3 | task 3789 | n_decoded =    547, tg =  12.28 t/s, tg_3s =   2.47 t/s
6.18.963.827 I slot print_timing: id  3 | task 3789 | n_decoded =    593, tg =  12.46 t/s, tg_3s =  15.11 t/s
6.22.028.597 I slot print_timing: id  3 | task 3789 | n_decoded =    639, tg =  12.62 t/s, tg_3s =  15.01 t/s
6.25.031.483 I slot print_timing: id  3 | task 3789 | n_decoded =    684, tg =  12.75 t/s, tg_3s =  14.99 t/s
6.28.081.543 I slot print_timing: id  3 | task 3789 | n_decoded =    730, tg =  12.87 t/s, tg_3s =  15.08 t/s
6.31.130.774 I slot print_timing: id  3 | task 3789 | n_decoded =    776, tg =  12.99 t/s, tg_3s =  15.09 t/s
6.34.175.017 I slot print_timing: id  3 | task 3789 | n_decoded =    822, tg =  13.09 t/s, tg_3s =  15.11 t/s
6.36.097.325 I slot print_timing: id  3 | task 3789 | prompt eval time =    2586.58 ms /   134 tokens (   19.30 ms per token,    51.81 tokens per second)
6.36.097.367 I slot print_timing: id  3 | task 3789 |        eval time =   64719.46 ms /   851 tokens (   76.05 ms per token,    13.15 tokens per second)
6.36.097.386 I slot print_timing: id  3 | task 3789 |       total time =   67306.05 ms /   985 tokens
6.36.097.404 I slot print_timing: id  3 | task 3789 |    graphs reused =       4612
6.36.097.448 I slot      release: id  3 | task 3789 | stop processing: n_tokens = 984, truncated = 0
6.36.109.201 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.722 (> 0.100 thold), f_keep = 0.058
6.36.109.224 I slot launch_slot_: id  3 | task 4642 | processing task, is_child = 0
6.44.730.604 I slot print_timing: id  3 | task 4642 | n_decoded =    100, tg =  15.63 t/s, tg_3s =  15.63 t/s
6.47.735.475 I slot print_timing: id  3 | task 4642 | n_decoded =    146, tg =  15.53 t/s, tg_3s =  15.31 t/s
6.50.911.974 I slot print_timing: id  3 | task 4642 | n_decoded =    162, tg =  12.88 t/s, tg_3s =   5.04 t/s
6.53.965.656 I slot print_timing: id  3 | task 4642 | n_decoded =    178, tg =  11.39 t/s, tg_3s =   5.24 t/s
6.56.297.781 I slot print_timing: id  3 | task 4642 | prompt eval time =    2225.16 ms /    79 tokens (   28.17 ms per token,    35.50 tokens per second)
6.56.297.825 I slot print_timing: id  3 | task 4642 |        eval time =   17963.38 ms /   213 tokens (   84.34 ms per token,    11.86 tokens per second)
6.56.297.846 I slot print_timing: id  3 | task 4642 |       total time =   20188.54 ms /   292 tokens
6.56.297.864 I slot print_timing: id  3 | task 4642 |    graphs reused =       4822
6.56.298.091 I slot      release: id  3 | task 4642 | stop processing: n_tokens = 291, truncated = 0
6.56.311.465 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.563 (> 0.100 thold), f_keep = 0.199
6.56.311.492 I slot launch_slot_: id  3 | task 4857 | processing task, is_child = 0
7.05.268.384 I slot print_timing: id  3 | task 4857 | n_decoded =    100, tg =  15.46 t/s, tg_3s =  15.46 t/s
7.08.330.633 I slot print_timing: id  3 | task 4857 | n_decoded =    147, tg =  15.42 t/s, tg_3s =  15.35 t/s
7.11.364.527 I slot print_timing: id  3 | task 4857 | n_decoded =    193, tg =  15.36 t/s, tg_3s =  15.16 t/s
7.14.398.981 I slot print_timing: id  3 | task 4857 | n_decoded =    239, tg =  15.32 t/s, tg_3s =  15.16 t/s
7.17.425.538 I slot print_timing: id  3 | task 4857 | n_decoded =    285, tg =  15.30 t/s, tg_3s =  15.20 t/s
7.20.459.924 I slot print_timing: id  3 | task 4857 | n_decoded =    331, tg =  15.28 t/s, tg_3s =  15.16 t/s
7.23.480.518 I slot print_timing: id  3 | task 4857 | n_decoded =    377, tg =  15.28 t/s, tg_3s =  15.23 t/s
7.26.845.385 I slot print_timing: id  3 | task 4857 | n_decoded =    414, tg =  14.76 t/s, tg_3s =  11.00 t/s
7.30.226.279 I slot print_timing: id  3 | task 4857 | n_decoded =    422, tg =  13.43 t/s, tg_3s =   2.37 t/s
7.33.231.255 I slot print_timing: id  3 | task 4857 | n_decoded =    462, tg =  13.42 t/s, tg_3s =  13.31 t/s
7.36.277.312 I slot print_timing: id  3 | task 4857 | n_decoded =    508, tg =  13.55 t/s, tg_3s =  15.10 t/s
7.39.278.426 I slot print_timing: id  3 | task 4857 | n_decoded =    553, tg =  13.66 t/s, tg_3s =  14.99 t/s
7.42.313.180 I slot print_timing: id  3 | task 4857 | n_decoded =    599, tg =  13.77 t/s, tg_3s =  15.16 t/s
7.45.346.408 I slot print_timing: id  3 | task 4857 | n_decoded =    645, tg =  13.86 t/s, tg_3s =  15.17 t/s
7.48.380.195 I slot print_timing: id  3 | task 4857 | n_decoded =    691, tg =  13.94 t/s, tg_3s =  15.16 t/s
7.51.423.541 I slot print_timing: id  3 | task 4857 | n_decoded =    737, tg =  14.01 t/s, tg_3s =  15.11 t/s
7.54.471.329 I slot print_timing: id  3 | task 4857 | n_decoded =    783, tg =  14.06 t/s, tg_3s =  15.09 t/s
7.57.519.333 I slot print_timing: id  3 | task 4857 | n_decoded =    829, tg =  14.12 t/s, tg_3s =  15.09 t/s
8.00.102.623 I slot print_timing: id  3 | task 4857 | prompt eval time =    2488.68 ms /   103 tokens (   24.16 ms per token,    41.39 tokens per second)
8.00.102.678 I slot print_timing: id  3 | task 4857 |        eval time =   61302.43 ms /   868 tokens (   70.62 ms per token,    14.16 tokens per second)
8.00.102.681 I slot print_timing: id  3 | task 4857 |       total time =   63791.12 ms /   971 tokens
8.00.102.681 I slot print_timing: id  3 | task 4857 |    graphs reused =       5685
8.00.102.705 I slot      release: id  3 | task 4857 | stop processing: n_tokens = 970, truncated = 0
8.00.114.233 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.734 (> 0.100 thold), f_keep = 0.060
8.00.114.271 I slot launch_slot_: id  3 | task 5727 | processing task, is_child = 0
8.12.966.131 I slot print_timing: id  3 | task 5727 | n_decoded =    100, tg =   9.42 t/s, tg_3s =   9.42 t/s
8.16.000.766 I slot print_timing: id  3 | task 5727 | n_decoded =    146, tg =  10.70 t/s, tg_3s =  15.16 t/s
8.19.022.277 I slot print_timing: id  3 | task 5727 | n_decoded =    192, tg =  11.52 t/s, tg_3s =  15.22 t/s
8.22.022.677 I slot print_timing: id  3 | task 5727 | n_decoded =    237, tg =  12.05 t/s, tg_3s =  15.00 t/s
8.25.058.637 I slot print_timing: id  3 | task 5727 | n_decoded =    283, tg =  12.46 t/s, tg_3s =  15.15 t/s
8.28.086.076 I slot print_timing: id  3 | task 5727 | n_decoded =    329, tg =  12.78 t/s, tg_3s =  15.19 t/s
8.31.119.614 I slot print_timing: id  3 | task 5727 | n_decoded =    375, tg =  13.03 t/s, tg_3s =  15.16 t/s
8.34.134.210 I slot print_timing: id  3 | task 5727 | n_decoded =    421, tg =  13.25 t/s, tg_3s =  15.26 t/s
8.37.166.588 I slot print_timing: id  3 | task 5727 | n_decoded =    467, tg =  13.41 t/s, tg_3s =  15.17 t/s
8.40.200.942 I slot print_timing: id  3 | task 5727 | n_decoded =    513, tg =  13.55 t/s, tg_3s =  15.16 t/s
8.43.566.030 I slot print_timing: id  3 | task 5727 | n_decoded =    525, tg =  12.74 t/s, tg_3s =   3.57 t/s
8.46.620.827 I slot print_timing: id  3 | task 5727 | n_decoded =    548, tg =  12.38 t/s, tg_3s =   7.53 t/s
8.49.641.550 I slot print_timing: id  3 | task 5727 | n_decoded =    594, tg =  12.56 t/s, tg_3s =  15.23 t/s
8.52.728.295 I slot print_timing: id  3 | task 5727 | n_decoded =    633, tg =  12.57 t/s, tg_3s =  12.63 t/s
8.55.781.469 I slot print_timing: id  3 | task 5727 | n_decoded =    677, tg =  12.67 t/s, tg_3s =  14.41 t/s
8.58.797.491 I slot print_timing: id  3 | task 5727 | n_decoded =    722, tg =  12.79 t/s, tg_3s =  14.92 t/s
9.01.851.522 I slot print_timing: id  3 | task 5727 | n_decoded =    768, tg =  12.91 t/s, tg_3s =  15.06 t/s
9.04.896.309 I slot print_timing: id  3 | task 5727 | n_decoded =    814, tg =  13.01 t/s, tg_3s =  15.11 t/s
9.07.940.250 I slot print_timing: id  3 | task 5727 | n_decoded =    860, tg =  13.11 t/s, tg_3s =  15.11 t/s
9.10.992.162 I slot print_timing: id  3 | task 5727 | n_decoded =    906, tg =  13.20 t/s, tg_3s =  15.07 t/s
9.14.039.572 I slot print_timing: id  3 | task 5727 | n_decoded =    952, tg =  13.28 t/s, tg_3s =  15.09 t/s
9.17.049.620 I slot print_timing: id  3 | task 5727 | n_decoded =    996, tg =  13.33 t/s, tg_3s =  14.62 t/s
9.20.101.530 I slot print_timing: id  3 | task 5727 | n_decoded =   1014, tg =  13.04 t/s, tg_3s =   5.90 t/s
9.23.148.728 I slot print_timing: id  3 | task 5727 | n_decoded =   1026, tg =  12.70 t/s, tg_3s =   3.94 t/s
9.26.158.983 I slot print_timing: id  3 | task 5727 | n_decoded =   1071, tg =  12.78 t/s, tg_3s =  14.95 t/s
9.29.160.242 I slot print_timing: id  3 | task 5727 | n_decoded =   1116, tg =  12.86 t/s, tg_3s =  14.99 t/s
9.32.164.789 I slot print_timing: id  3 | task 5727 | n_decoded =   1161, tg =  12.93 t/s, tg_3s =  14.98 t/s
9.33.425.821 I slot print_timing: id  3 | task 5727 | prompt eval time =    2236.39 ms /    79 tokens (   28.31 ms per token,    35.32 tokens per second)
9.33.425.866 I slot print_timing: id  3 | task 5727 |        eval time =   91075.15 ms /  1180 tokens (   77.18 ms per token,    12.96 tokens per second)
9.33.425.885 I slot print_timing: id  3 | task 5727 |       total time =   93311.53 ms /  1259 tokens
9.33.425.902 I slot print_timing: id  3 | task 5727 |    graphs reused =       6859
9.33.425.944 I slot      release: id  3 | task 5727 | stop processing: n_tokens = 1258, truncated = 0
9.33.433.959 I srv    operator(): operator(): cleaning up before exit...
0.00.140.600 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.305.331 W srv  llama_server: -----------------
0.00.305.334 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.305.334 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.305.335 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.305.335 W srv  llama_server: -----------------
0.00.306.682 I srv    load_model: loading model '/home/dushyant30suthar/.lmstudio/models/unsloth/Laguna-S-2.1-GGUF/Laguna-S-2.1-UD-Q2_K_XL.gguf'
0.00.517.536 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.00.629.995 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.629.999 W load: special_eot_id is not in special_eog_ids - the tokenizer config may be incorrect
0.28.727.740 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 98304, kv_unified = 'true'
0.28.727.882 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.28.739.977 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.28.740.018 I srv  llama_server: model loaded
0.28.740.022 I srv  llama_server: listening on http://127.0.0.1:9520
0.32.644.091 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.32.644.123 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.39.702.342 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =  20.30 t/s, tg_3s =  20.30 t/s
0.42.744.345 I slot print_timing: id  3 | task 0 | n_decoded =    161, tg =  20.21 t/s, tg_3s =  20.05 t/s
0.45.779.521 I slot print_timing: id  3 | task 0 | n_decoded =    222, tg =  20.18 t/s, tg_3s =  20.10 t/s
0.48.822.902 I slot print_timing: id  3 | task 0 | n_decoded =    283, tg =  20.15 t/s, tg_3s =  20.04 t/s
0.51.855.482 I slot print_timing: id  3 | task 0 | n_decoded =    344, tg =  20.14 t/s, tg_3s =  20.11 t/s
0.54.862.243 I slot print_timing: id  3 | task 0 | n_decoded =    404, tg =  20.11 t/s, tg_3s =  19.96 t/s
0.57.870.049 I slot print_timing: id  3 | task 0 | n_decoded =    464, tg =  20.09 t/s, tg_3s =  19.95 t/s
1.00.870.814 I slot print_timing: id  3 | task 0 | n_decoded =    524, tg =  20.08 t/s, tg_3s =  19.99 t/s
1.03.871.465 I slot print_timing: id  3 | task 0 | n_decoded =    584, tg =  20.07 t/s, tg_3s =  20.00 t/s
1.06.888.655 I slot print_timing: id  3 | task 0 | n_decoded =    644, tg =  20.06 t/s, tg_3s =  19.89 t/s
1.09.911.487 I slot print_timing: id  3 | task 0 | n_decoded =    704, tg =  20.04 t/s, tg_3s =  19.85 t/s
1.12.921.955 I slot print_timing: id  3 | task 0 | n_decoded =    764, tg =  20.03 t/s, tg_3s =  19.93 t/s
1.15.936.773 I slot print_timing: id  3 | task 0 | n_decoded =    824, tg =  20.02 t/s, tg_3s =  19.90 t/s
1.18.964.578 I slot print_timing: id  3 | task 0 | n_decoded =    884, tg =  20.01 t/s, tg_3s =  19.82 t/s
1.21.971.713 I slot print_timing: id  3 | task 0 | n_decoded =    943, tg =  19.98 t/s, tg_3s =  19.62 t/s
1.25.001.002 I slot print_timing: id  3 | task 0 | n_decoded =   1002, tg =  19.95 t/s, tg_3s =  19.48 t/s
1.28.024.764 I slot print_timing: id  3 | task 0 | n_decoded =   1061, tg =  19.93 t/s, tg_3s =  19.51 t/s
1.31.029.567 I slot print_timing: id  3 | task 0 | n_decoded =   1120, tg =  19.91 t/s, tg_3s =  19.64 t/s
1.34.036.940 I slot print_timing: id  3 | task 0 | n_decoded =   1179, tg =  19.90 t/s, tg_3s =  19.62 t/s
1.37.083.928 I slot print_timing: id  3 | task 0 | n_decoded =   1238, tg =  19.87 t/s, tg_3s =  19.36 t/s
1.40.094.065 I slot print_timing: id  3 | task 0 | n_decoded =   1297, tg =  19.86 t/s, tg_3s =  19.60 t/s
1.43.099.232 I slot print_timing: id  3 | task 0 | n_decoded =   1356, tg =  19.85 t/s, tg_3s =  19.63 t/s
1.46.100.450 I slot print_timing: id  3 | task 0 | n_decoded =   1414, tg =  19.83 t/s, tg_3s =  19.33 t/s
1.49.102.366 I slot print_timing: id  3 | task 0 | n_decoded =   1472, tg =  19.80 t/s, tg_3s =  19.32 t/s
1.52.102.966 I slot print_timing: id  3 | task 0 | n_decoded =   1530, tg =  19.79 t/s, tg_3s =  19.33 t/s
